u,v,key,osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,name,tunnel,junction,access,geometry
1443502706,1443502732,0,493286528,,True,2,EN 235,secondary,50,False,13.978,Avenida da Universidade,,,,"LINESTRING (-8.6562627 40.6342544, -8.6562609 40.6343801)"
1443502709,390064447,0,38628967,,True,2,EN 235,secondary,50,False,11.89,Avenida da Universidade,,,,"LINESTRING (-8.6564109 40.6342559, -8.6563829 40.6341511)"
1443502732,1443502757,0,493286528,,True,2,EN 235,secondary,50,False,10.088,Avenida da Universidade,,,,"LINESTRING (-8.6562609 40.6343801, -8.6562279 40.6344673)"
1443502739,1443502709,0,38628967,,True,2,EN 235,secondary,50,False,16.946,Avenida da Universidade,,,,"LINESTRING (-8.6563984 40.634408, -8.6564109 40.6342559)"
1443502757,534789260,0,493286528,,True,2,EN 235,secondary,50,False,8.684,Avenida da Universidade,,,,"LINESTRING (-8.6562279 40.6344673, -8.6561792 40.6345361)"
1443502759,1443502739,0,38628967,,True,2,EN 235,secondary,50,False,11.118,Avenida da Universidade,,,,"LINESTRING (-8.6563625 40.6345042, -8.6563984 40.634408)"
1443502795,1712844049,0,38628967,,True,2,EN 235,secondary,50,False,15.019,Avenida da Universidade,,,,"LINESTRING (-8.6558767 40.6350002, -8.6559809 40.6348907)"
1443502797,9694503532,0,33654371,,True,2,EN 235,secondary,50,False,7.429,Rotunda do Hospital,,roundabout,,"LINESTRING (-8.655616 40.6351587, -8.6555396 40.6351919)"
1443502799,1443502797,0,33654371,,True,2,EN 235,secondary,50,False,9.163,Rotunda do Hospital,,roundabout,,"LINESTRING (-8.6557245 40.635162, -8.655616 40.6351587)"
1443502827,1443502829,0,131114468,,True,1,EN 235,secondary_link,50,False,12.387,Rua Calouste Gulbenkian,,,,"LINESTRING (-8.6555033 40.6357201, -8.6556068 40.6357991)"
1443502828,385013741,0,131114431,,True,1,EN 235,secondary_link,50,False,8.358,Rua Calouste Gulbenkian,,,,"LINESTRING (-8.6556899 40.6357614, -8.655694 40.6356863)"
1443502829,1443502833,0,131114468,,True,1,EN 235,secondary_link,50,False,11.401,Rua Calouste Gulbenkian,,,,"LINESTRING (-8.6556068 40.6357991, -8.6556999 40.6358734)"
1443502831,1443502828,0,131114431,,True,1,EN 235,secondary_link,50,False,6.549,Rua Calouste Gulbenkian,,,,"LINESTRING (-8.6557061 40.635819, -8.6556899 40.6357614)"
1443502833,1443502834,0,131114468,,True,1,EN 235,secondary_link,50,False,5.005,Rua Calouste Gulbenkian,,,,"LINESTRING (-8.6556999 40.6358734, -8.6557529 40.6358936)"
1443502834,1443502831,0,131114431,,True,1,EN 235,secondary_link,50,False,9.187,Rua Calouste Gulbenkian,,,,"LINESTRING (-8.6557529 40.6358936, -8.6557061 40.635819)"
1443502834,385011812,0,815988679,,False,2,EN 235,secondary,50,True,25.383,Rua Calouste Gulbenkian,,,,"LINESTRING (-8.6557529 40.6358936, -8.6559695 40.636052)"
1443502835,4948909149,0,504776812,,True,2,,secondary,30,False,10.896,Avenida de Artur Ravara,,,,"LINESTRING (-8.6544286 40.6363096, -8.6545093 40.6362331)"
1443502865,5237764366,0,129378667,,False,,,residential,,False,49.434,Rua Passos Manuel,,,,"LINESTRING (-8.649403 40.6393841, -8.6490156 40.6390506)"
1443502865,5237764367,0,129378667,,False,,,residential,,True,7.063,Rua Passos Manuel,,,,"LINESTRING (-8.649403 40.6393841, -8.6494507 40.6394363)"
1443502952,5237682329,0,231909294,,False,2,,residential,,False,4.562,Rua da Ponte de Pau,,,,"LINESTRING (-8.6486393 40.6406543, -8.6485977 40.6406281)"
